,Stock,Quantity,Month,MFundName,Fund Size
321,PRVU,45088,Kartik 2078,LEMF,1250000000
322,PRIN,2006,Kartik 2078,LEMF,1250000000
323,PLI,1918,Kartik 2078,LEMF,1250000000
324,PIC,13717,Kartik 2078,LEMF,1250000000
325,PICL,20091,Kartik 2078,LEMF,1250000000
326,RLI,1182,Kartik 2078,LEMF,1250000000
327,RMDC,4946,Kartik 2078,LEMF,1250000000
328,SDLBSL,204,Kartik 2078,LEMF,1250000000
329,SKBBL,3568,Kartik 2078,LEMF,1250000000
330,SGI,959,Kartik 2078,LEMF,1250000000
331,SLI,14078,Kartik 2078,LEMF,1250000000
332,SANIMA,20302,Kartik 2078,LEMF,1250000000
333,SBI,53721,Kartik 2078,LEMF,1250000000
334,SBL,25710,Kartik 2078,LEMF,1250000000
335,SCB,20786,Kartik 2078,LEMF,1250000000
336,SICL,9414,Kartik 2078,LEMF,1250000000
337,SIL,2818,Kartik 2078,LEMF,1250000000
338,SLBBL,1775,Kartik 2078,LEMF,1250000000
339,SRBL,45627,Kartik 2078,LEMF,1250000000
340,SLICL,18110,Kartik 2078,LEMF,1250000000
341,SWBBL,1048,Kartik 2078,LEMF,1250000000
342,TPC,1877,Kartik 2078,LEMF,1250000000
343,ULI,10134,Kartik 2078,LEMF,1250000000
344,UMRH,1,Kartik 2078,LEMF,1250000000
345,USLB,386,Kartik 2078,LEMF,1250000000
346,ADBL,46434,Kartik 2078,LUK,652623600
347,BOKL,54720,Kartik 2078,LUK,652623600
348,BPCL,8349,Kartik 2078,LUK,652623600
349,CBBL,8500,Kartik 2078,LUK,652623600
350,CBL,20000,Kartik 2078,LUK,652623600
351,CCBL,9990,Kartik 2078,LUK,652623600
352,CHCL,13498,Kartik 2078,LUK,652623600
353,CZBIL,37500,Kartik 2078,LUK,652623600
354,EBL,18402,Kartik 2078,LUK,652623600
355,FMDBL,8000,Kartik 2078,LUK,652623600
356,GBBL,16000,Kartik 2078,LUK,652623600
357,GBIME,22055,Kartik 2078,LUK,652623600
358,GBLBS,11300,Kartik 2078,LUK,652623600
359,GLICL,9569,Kartik 2078,LUK,652623600
360,HGI,6000,Kartik 2078,LUK,652623600
361,HDL,300,Kartik 2078,LUK,652623600
362,JBLB,609,Kartik 2078,LUK,652623600
363,KSBBL,1500,Kartik 2078,LUK,652623600
