,Stock,Quantity,Month,MFundName,%age holdings
86,NIB,5000,Bhadra 2078,CMF2,0.004281005180016268
87,NIBPO,607,Bhadra 2078,CMF2,0.0005197140288539749
88,SBI,1000,Bhadra 2078,CMF2,0.0008562010360032536
89,NICA,27430,Bhadra 2078,CMF2,0.023485594417569245
90,NMB,40609,Bhadra 2078,CMF2,0.03476946787105612
91,PRVU,38289,Bhadra 2078,CMF2,0.03278308146752858
92,PCBL,40400,Bhadra 2078,CMF2,0.034590521854531445
93,SANIMA,14368,Bhadra 2078,CMF2,0.012301896485294747
94,SBL,27600,Bhadra 2078,CMF2,0.0236311485936898
95,EDBL,1000,Bhadra 2078,CMF2,0.0008562010360032536
96,GBBL,11100,Bhadra 2078,CMF2,0.009503831499636115
97,JBBL,1659,Bhadra 2078,CMF2,0.0014204375187293976
98,LBBL,7220,Bhadra 2078,CMF2,0.00618177147994349
99,KSBBL,6800,Bhadra 2078,CMF2,0.005822167044822124
100,MDB,1900,Bhadra 2078,CMF2,0.0016267819684061817
101,MNBBL,9000,Bhadra 2078,CMF2,0.007705809324029282
102,SHINE,1500,Bhadra 2078,CMF2,0.0012843015540048804
103,ICFC,7400,Bhadra 2078,CMF2,0.006335887666424077
104,PFL,185,Bhadra 2078,CMF2,0.00015839719166060192
105,SIFC,5600,Bhadra 2078,CMF2,0.00479472580161822
106,SHPC,604,Bhadra 2078,CMF2,0.0005171454257459652
107,ALICL,11511,Bhadra 2078,CMF2,0.009855730125433452
108,LICN,4935,Bhadra 2078,CMF2,0.004225352112676056
109,NLICL,4252,Bhadra 2078,CMF2,0.003640566805085834
110,NLIC,16020,Bhadra 2078,CMF2,0.013716340596772122
111,PLIC,5285,Bhadra 2078,CMF2,0.004525022475277195
112,SLI,8321,Bhadra 2078,CMF2,0.007124448820583073
113,SLICL,90,Bhadra 2078,CMF2,7.705809324029283e-05
114,ULI,8464,Bhadra 2078,CMF2,0.007246885568731538
115,CBBL,11435,Bhadra 2078,CMF2,0.009790658846697204
116,DDBL,10766,Bhadra 2078,CMF2,0.009217860353611027
117,FOWAD,1912,Bhadra 2078,CMF2,0.0016370563808382208
118,NUBL,10601,Bhadra 2078,CMF2,0.00907658718267049
119,JBLB,2992,Bhadra 2078,CMF2,0.002561753499721735
120,RMDC,2316,Bhadra 2078,CMF2,0.001982961599383535
121,MKLB,598,Bhadra 2078,CMF2,0.0005120082195299456
122,NMFBS,186,Bhadra 2078,CMF2,0.00015925339269660517
123,SKBBL,13657,Bhadra 2078,CMF2,0.011693137548696433
124,SWBBL,12700,Bhadra 2078,CMF2,0.01087375315724132
125,HGI,4,Bhadra 2078,CMF2,3.4248041440130143e-06
126,LGIL,3,Bhadra 2078,CMF2,2.568603108009761e-06
127,NIL,11382,Bhadra 2078,CMF2,0.009745280191789033
128,NLG,2300,Bhadra 2078,CMF2,0.001969262382807483
129,PIC,13373,Bhadra 2078,CMF2,0.01144997645447151
130,SIC,11450,Bhadra 2078,CMF2,0.009803501862237253
131,SICL,15287,Bhadra 2078,CMF2,0.013088745237381736
132,SIL,10600,Bhadra 2078,CMF2,0.009075730981634488
133,NICSF,100000,Bhadra 2078,CMF2,0.08562010360032536
134,KEF,50000,Bhadra 2078,CMF2,0.04281005180016268
135,NIBSF2,200000,Bhadra 2078,CMF2,0.17124020720065072
136,RMF1,100000,Bhadra 2078,CMF2,0.08562010360032536
137,CIT,300,Bhadra 2078,CMF2,0.0002568603108009761
138,HDL,150,Bhadra 2078,CMF2,0.00012843015540048804
139,SAMAJ,195,Bhadra 2078,CMF2,0.00016695920202063443
140,MLBS,563,Bhadra 2078,CMF2,0.00048204118326983177
141,MEGAMF1,50000,Bhadra 2078,CMF2,0.04281005180016268
142,TPCL,1143,Bhadra 2078,CMF2,0.000978637784151719
143,BNHC,1067,Bhadra 2078,CMF2,0.0009135665054154715
